	10CA_S168pdamsymd.sam.counts	10CL_S148pdamsymd.sam.counts	10NA_S169pdamsymd.sam.counts	10NL_S149pdamsymd.sam.counts	1CA_S150pdamsymd.sam.counts	1NA_S151pdamsymd.sam.counts	1NL_S136pdamsymd.sam.counts	2CA_S152pdamsymd.sam.counts	2NA_S153pdamsymd.sam.counts	3CA_S154pdamsymd.sam.counts	3CL_S137pdamsymd.sam.counts	3NA_S155pdamsymd.sam.counts	3NL_S138pdamsymd.sam.counts	4CA_S156pdamsymd.sam.counts	4CL_S139pdamsymd.sam.counts	4NA_S157pdamsymd.sam.counts	5CA_S158pdamsymd.sam.counts	5CL_S140pdamsymd.sam.counts	5NA_S159pdamsymd.sam.counts	6CA_S160pdamsymd.sam.counts	6CL_S141pdamsymd.sam.counts	6NA_S161pdamsymd.sam.counts	6NL_S142pdamsymd.sam.counts	7CA_S162pdamsymd.sam.counts	7CL_S143pdamsymd.sam.counts	7NA_S163pdamsymd.sam.counts	8CA_S164pdamsymd.sam.counts	8CL_S144pdamsymd.sam.counts	8NA_S165pdamsymd.sam.counts	8NL_S145pdamsymd.sam.counts	9CA_S166pdamsymd.sam.counts	9CL_S146pdamsymd.sam.counts	9NA_S167pdamsymd.sam.counts	9NL_S147pdamsymd.sam.counts	
isogroup00006274	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	
isogroup00006275	1	3	2	5	3	2	1	2	0	1	4	0	6	2	3	2	1	3	6	0	4	2	3	1	5	0	2	3	3	5	0	1	4	4	
isogroup00006276	0	1	0	1	0	2	1	1	0	2	0	0	2	0	0	0	0	2	0	0	4	0	1	0	1	2	1	2	1	0	0	1	2	1	
isogroup00006277	301	171	336	183	357	355	141	313	189	291	134	252	181	299	162	306	278	170	270	304	160	320	116	197	142	345	349	145	294	145	270	121	290	137	
isogroup00006278	3	2	5	7	8	5	3	3	0	3	3	1	6	1	6	4	2	6	2	2	5	5	3	0	0	2	4	0	2	4	3	2	9	2	
isogroup00006279	4	13	10	18	6	4	8	15	10	10	9	5	12	10	11	8	7	15	1	6	20	5	16	3	8	9	8	9	6	11	6	13	7	9	
isogroup00006280	6	36	11	42	7	10	20	12	21	14	32	4	20	8	41	8	4	48	14	10	39	6	32	8	28	11	9	39	18	38	4	12	6	17	
isogroup00006281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006282	7	0	2	0	3	6	0	2	0	3	0	0	0	6	0	1	3	0	3	10	0	1	0	3	0	4	5	0	0	0	3	0	0	0	
isogroup00006284	5	5	1	4	2	9	0	1	2	1	2	0	1	4	4	1	4	3	2	1	3	0	1	1	1	1	5	4	3	2	0	0	1	1	
isogroup00006285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
isogroup00006286	3	0	0	0	2	3	0	2	1	2	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	2	0	0	0	0	0	1	0	
isogroup00006287	4	5	4	2	10	3	2	38	20	4	3	2	0	2	1	3	4	5	2	1	1	1	0	2	0	0	4	1	2	0	2	2	4	4	
isogroup00006288	27	8	26	20	17	24	17	30	23	22	21	25	18	17	16	23	25	15	17	22	17	22	18	13	11	36	21	22	24	19	16	18	32	14	
isogroup00006289	19	3	7	2	7	9	4	3	6	11	6	3	3	8	7	9	8	2	3	15	5	6	3	1	5	7	9	5	9	4	3	4	10	1	
isogroup00006290	11	1	8	7	9	9	0	10	12	10	2	7	4	17	2	7	12	4	6	16	2	8	2	7	4	15	6	4	6	2	14	3	15	0	
isogroup00006291	19	6	15	13	16	11	3	18	3	10	8	10	12	14	15	11	9	25	10	18	16	18	8	9	7	20	16	16	10	7	15	11	19	7	
isogroup00006292	1	2	0	1	1	0	1	0	1	2	2	1	2	1	1	0	1	2	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	
isogroup00006293	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	2	0	1	1	0	0	0	1	0	
isogroup00006294	34	31	32	26	30	39	23	42	20	19	17	25	20	30	33	20	18	32	18	21	30	18	31	15	26	28	38	45	25	30	28	25	32	24	
isogroup00006295	0	1	0	1	0	0	0	0	0	0	2	2	1	0	0	0	2	4	1	0	0	1	2	0	0	0	0	1	3	1	1	0	2	3	
isogroup00006296	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	
isogroup00006297	1	0	2	0	0	5	2	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	1	4	0	2	0	0	1	0	1	0	0	1	
isogroup00006298	31	58	48	46	47	39	25	42	23	28	34	24	43	29	59	51	32	52	42	28	45	40	48	24	34	49	40	30	50	36	36	27	44	40	
isogroup00006299	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006300	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	2	1	0	0	2	1	0	0	1	2	2	2	1	1	
isogroup00006301	13	8	13	21	10	22	3	21	4	6	7	4	12	9	7	10	11	14	4	13	11	10	8	13	14	12	7	12	8	16	7	7	7	5	
isogroup00006302	85	68	92	78	75	94	52	136	64	64	50	65	77	70	52	69	73	65	55	63	69	69	58	52	62	115	82	68	68	59	72	49	83	59	
isogroup00006303	0	4	0	1	0	1	1	0	1	0	4	1	1	1	1	1	0	2	0	1	3	0	0	1	1	1	0	2	1	1	0	0	0	1	
isogroup00006304	4	6	0	9	3	3	8	2	1	3	8	4	10	3	7	4	5	5	1	0	15	1	7	2	5	8	6	10	4	6	3	7	2	4	
isogroup00006305	5	5	9	13	11	7	8	3	10	3	6	5	10	4	3	7	6	8	4	10	11	9	5	5	11	13	7	11	5	9	7	2	11	11	
isogroup00006306	1	0	1	0	5	1	0	4	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	3	0	0	0	0	3	0	0	0	
isogroup00006307	2	0	4	0	1	2	0	8	0	2	2	2	0	0	3	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	
isogroup00006308	0	1	0	1	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	0	2	1	0	0	
isogroup00006309	0	0	3	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	2	0	1	4	0	0	1	1	1	
isogroup00006310	9	16	17	8	13	12	3	16	4	11	5	8	3	15	7	8	5	9	13	14	5	8	4	10	8	12	8	9	13	3	8	7	24	6	
isogroup00006311	0	4	0	5	0	0	2	0	0	0	2	0	6	0	2	2	0	3	0	2	1	0	0	1	1	3	1	1	1	1	0	2	2	3	
isogroup00006312	94	38	85	57	82	73	28	58	52	72	33	55	50	82	35	60	81	53	70	91	37	64	36	49	35	83	74	28	38	28	86	37	105	31	
isogroup00006313	7	12	5	11	9	7	4	8	5	5	10	6	8	5	4	11	5	7	3	5	10	5	7	2	4	5	4	3	13	4	12	1	4	3	
isogroup00006314	18	34	22	35	15	20	21	19	10	20	23	15	53	13	26	17	29	37	6	28	37	10	22	12	32	27	10	37	21	35	12	34	21	20	
isogroup00006315	425	462	396	551	463	444	382	532	353	394	407	350	558	308	551	422	432	513	302	362	550	318	503	315	465	495	463	535	362	498	251	367	394	380	
isogroup00006316	2	0	2	0	1	3	1	0	1	2	2	2	1	1	1	0	1	0	1	1	0	0	0	3	2	2	1	1	1	0	2	2	3	1	
isogroup00006317	5	3	12	3	17	12	1	7	7	15	6	11	5	10	3	16	8	3	21	14	12	13	9	3	5	8	13	2	19	3	2	9	12	11	
isogroup00006318	2	2	0	3	1	4	2	3	1	1	2	0	3	1	0	3	0	3	0	1	1	0	3	0	4	2	1	4	4	2	0	0	0	1	
isogroup00006319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup00006321	0	4	2	3	2	0	2	0	0	0	0	2	3	0	2	3	0	1	1	1	3	3	1	1	3	0	2	0	1	1	5	1	1	3	
isogroup00006322	21	56	31	53	18	30	49	41	30	15	46	27	73	34	55	31	21	60	23	23	47	29	59	9	34	22	29	49	28	46	30	40	27	52	
isogroup00006323	1316	709	1141	771	898	1267	610	1459	1083	1135	495	827	1001	1172	630	889	1105	859	758	1486	721	700	731	793	684	1543	996	636	870	499	822	728	1113	465	
isogroup00006324	83	65	68	83	78	81	59	98	45	66	57	39	68	55	66	58	66	74	50	63	78	67	57	38	59	91	64	70	66	82	48	69	71	62	
isogroup00006325	9	9	10	11	5	6	12	6	1	12	16	5	11	7	18	10	10	19	4	3	11	8	15	4	12	5	7	13	4	10	7	8	8	14	
isogroup00006326	15	6	11	4	9	9	0	1	3	6	2	8	2	7	7	6	6	8	9	9	5	3	4	9	6	18	7	11	2	4	7	2	9	8	
isogroup00006327	7	4	10	9	10	3	4	3	1	2	3	4	3	8	1	5	3	2	10	7	3	7	2	5	1	3	4	0	3	1	10	2	23	1	
isogroup00006328	19	21	15	24	20	19	8	9	6	11	10	16	18	21	15	21	16	23	22	8	23	15	21	12	20	13	19	17	10	15	28	15	28	21	
isogroup00006329	164	146	330	233	403	501	119	633	752	613	136	557	224	230	161	321	393	118	285	278	195	232	190	375	73	455	392	150	325	129	277	184	247	220	
isogroup00006330	12	27	21	18	19	18	11	83	40	9	24	9	23	10	12	18	13	10	8	16	10	9	23	17	21	29	15	21	10	15	11	7	15	23	
isogroup00006331	8	5	10	8	6	5	4	3	5	7	2	4	13	4	9	6	4	13	10	13	13	6	8	4	4	8	9	9	7	7	7	6	5	3	
isogroup00006332	10	17	13	16	16	14	14	15	8	11	21	10	30	13	20	17	17	22	9	12	25	13	20	10	21	14	16	21	13	14	9	13	14	16	
isogroup00006333	39	35	32	27	50	29	24	20	28	20	47	30	47	46	21	98	20	36	31	32	28	35	32	17	29	35	103	43	74	39	65	19	46	30	
isogroup00006334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup00006336	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	
isogroup00006339	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
isogroup00006340	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006342	34	49	31	45	35	36	43	38	32	48	37	31	41	49	38	27	23	56	40	41	44	30	39	28	35	71	47	28	41	27	44	29	47	32	
isogroup00006343	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006344	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006345	30	51	43	53	38	38	35	38	19	31	29	31	42	49	46	23	26	60	42	24	59	35	46	30	49	57	51	37	37	43	38	43	51	25	
isogroup00006346	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
isogroup00006347	111	125	133	140	107	149	104	155	81	75	105	72	149	102	125	99	105	142	96	114	139	97	138	68	87	87	99	128	100	97	105	98	140	103	
isogroup00006348	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	
isogroup00006349	1	0	0	2	3	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	1	2	1	0	0	1	1	0	0	2	0	0	0	1	
isogroup00006350	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	
isogroup00006351	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup00006352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
isogroup00006353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
isogroup00006354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup00006355	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006356	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006357	2	2	1	1	1	7	1	5	5	2	1	4	1	3	1	3	3	0	2	3	1	2	1	3	1	1	3	4	5	0	1	1	3	2	
isogroup00006358	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006359	15	23	10	28	7	17	20	6	9	6	11	14	11	10	13	10	8	35	9	5	19	5	21	8	14	7	10	18	6	18	10	16	9	19	
isogroup00006360	3	3	6	6	1	4	3	4	3	6	2	3	4	3	4	3	1	7	4	6	3	3	3	2	7	10	4	3	8	1	3	3	5	5	
isogroup00006361	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
isogroup00006362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006363	2	0	1	0	2	7	5	4	1	1	0	0	1	1	1	5	1	4	0	2	1	0	1	2	0	2	3	2	1	2	1	1	1	1	
isogroup00006364	47	20	48	21	49	83	16	44	23	59	14	47	18	41	23	33	57	17	47	51	22	25	17	54	21	102	42	13	20	18	28	14	43	25	
isogroup00006365	68	31	45	37	49	54	32	54	30	36	14	29	33	30	27	34	42	39	43	65	21	42	30	26	34	58	61	40	48	29	39	37	65	32	
isogroup00006366	2	7	3	5	1	2	3	3	5	3	3	4	5	2	1	3	5	4	1	0	6	3	4	2	5	1	4	5	3	5	2	9	4	5	
isogroup00006367	0	1	0	3	1	0	5	0	1	0	3	1	3	0	2	2	0	4	1	0	1	1	5	0	3	3	0	1	1	0	0	0	0	2	
isogroup00006368	105	180	108	159	98	78	88	148	87	84	119	82	142	91	112	110	106	144	95	85	153	91	128	92	103	127	105	110	91	115	92	112	102	113	
isogroup00006370	4	67	6	36	13	4	12	5	3	4	42	3	54	6	36	4	4	43	8	7	38	4	55	5	15	4	2	28	7	42	0	33	9	60	
isogroup00006371	0	1	0	2	0	1	0	0	0	1	0	2	1	0	0	0	0	4	0	0	1	0	1	1	0	0	0	2	1	0	0	1	0	0	
isogroup00006372	14	19	14	39	32	26	22	21	14	24	24	12	24	14	29	14	19	30	12	21	36	16	29	19	28	21	14	26	13	17	18	22	19	24	
isogroup00006373	9	18	9	17	7	6	12	5	2	3	10	4	17	8	18	15	7	15	6	6	7	8	20	6	18	6	6	18	5	17	6	10	9	10	
isogroup00006374	24	38	33	23	34	43	20	34	28	40	35	29	23	37	31	25	49	49	31	30	26	23	24	42	27	78	31	15	34	23	32	17	29	17	
isogroup00006375	26	13	18	13	17	32	7	11	16	16	8	14	15	19	13	4	9	19	21	13	8	18	11	5	13	14	23	13	15	7	23	11	22	12	
isogroup00006376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	
isogroup00006381	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	
isogroup00006382	138	503	139	263	129	124	265	301	121	132	358	99	378	89	193	113	128	230	87	101	299	138	287	63	206	133	110	191	67	184	93	261	136	494	
isogroup00006383	0	1	0	2	1	2	0	0	0	0	0	0	0	0	1	27	0	1	0	3	1	0	0	1	1	1	41	8	30	6	1	1	0	1	
isogroup00006384	2	1	1	2	2	1	1	1	0	1	3	1	0	1	8	0	2	1	0	0	4	3	3	0	1	5	4	3	0	3	2	5	0	2	
isogroup00006385	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	2	0	0	0	0	0	2	0	0	3	0	0	1	0	
isogroup00006386	14	40	13	22	16	9	11	28	8	26	28	12	27	8	9	9	20	24	8	12	15	16	23	8	12	16	8	9	13	18	9	29	12	23	
isogroup00006387	5	13	5	23	6	4	16	8	6	4	15	5	13	4	13	1	3	22	4	6	21	2	16	2	3	9	2	24	15	11	2	10	3	10	
isogroup00006388	0	4	0	4	2	0	1	0	1	0	7	0	2	0	4	1	0	4	0	0	4	1	4	0	4	0	0	0	1	2	0	2	1	0	
isogroup00006389	47	66	59	87	159	120	80	43	116	135	78	112	139	48	140	75	90	174	202	162	168	132	283	59	105	75	125	106	368	126	34	140	177	54	
isogroup00006390	40	12	33	30	23	29	10	23	29	38	5	19	16	39	12	22	40	15	19	36	17	14	25	12	12	39	27	9	33	24	35	18	35	9	
isogroup00006391	6	1	15	5	10	4	0	10	6	6	2	9	5	5	3	12	7	1	7	9	2	10	6	12	3	19	9	1	10	2	10	1	8	1	
isogroup00006392	55	11	69	6	54	41	4	106	73	46	30	29	22	32	32	56	31	11	29	68	13	38	13	30	7	92	111	4	78	8	33	6	56	15	
isogroup00006393	3	5	3	1	1	0	1	1	0	1	3	0	2	4	1	4	2	1	0	1	3	0	1	0	3	0	1	2	0	2	2	1	0	2	
isogroup00006394	54	48	49	45	37	36	33	63	24	37	43	36	58	55	30	31	44	49	46	48	47	51	33	40	41	62	34	51	31	33	52	45	69	30	
isogroup00006396	1	0	1	1	0	1	2	4	0	1	3	1	0	2	0	1	0	0	0	3	1	1	1	2	0	2	1	0	0	0	2	0	4	0	
isogroup00006397	23	18	15	16	30	23	12	29	12	21	11	11	18	11	17	17	21	11	18	22	10	12	18	15	12	28	17	18	14	13	17	13	11	8	
isogroup00006398	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	
isogroup00006399	30	25	14	35	26	34	32	39	21	13	16	11	36	10	47	25	17	45	15	34	29	12	32	17	38	33	32	35	28	36	19	21	24	21	
isogroup00006400	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006401	83	69	76	70	148	47	24	95	83	85	62	71	58	58	40	111	108	35	54	132	48	91	74	38	38	105	114	25	54	31	68	52	90	112	
isogroup00006402	14	20	17	26	12	6	19	12	9	7	26	12	31	10	16	8	16	34	14	11	21	6	26	10	31	19	17	21	14	17	14	19	20	18	
isogroup00006403	4	8	5	13	18	7	14	2	1	4	13	2	13	4	14	12	2	16	5	3	16	9	12	4	17	10	7	17	11	13	8	7	10	15	
isogroup00006404	18	6	19	6	37	24	3	4	6	10	3	18	4	10	1	28	6	5	11	13	7	22	1	31	7	65	40	8	35	6	14	4	12	2	
isogroup00006406	41	20	27	28	36	19	14	33	21	13	20	17	30	22	27	34	21	31	24	31	24	33	28	23	29	40	45	29	33	24	22	30	36	19	
isogroup00006407	0	1	1	6	4	0	0	0	0	0	1	0	4	0	1	0	1	2	0	0	1	0	0	0	5	0	1	3	0	0	1	1	1	2	
isogroup00006408	6	4	6	4	8	12	2	2	1	5	2	5	0	4	5	10	5	1	8	7	1	6	1	3	0	4	8	3	6	4	4	1	6	2	
isogroup00006409	61	32	68	41	74	69	18	70	33	72	31	52	45	77	30	48	52	48	63	69	41	62	34	51	22	82	66	37	64	22	71	30	84	27	
isogroup00006411	26	5	19	12	9	12	3	10	7	14	5	14	6	14	14	6	22	11	7	12	17	6	8	8	10	21	11	14	14	7	15	11	15	4	
isogroup00006412	5	5	1	9	3	3	1	1	0	1	3	3	7	4	4	1	0	5	2	3	4	0	3	1	5	6	1	12	2	1	2	4	6	7	
isogroup00006413	8	8	4	9	11	3	5	11	3	6	6	8	11	16	23	6	7	19	11	6	11	8	18	9	13	11	11	10	13	11	10	9	6	9	
isogroup00006414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
isogroup00006416	1	0	1	0	0	1	0	0	1	2	0	1	0	1	0	2	4	0	1	2	0	1	0	1	0	3	5	0	6	0	1	0	2	0	
isogroup00006417	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	
isogroup00006418	35	41	32	55	32	28	30	27	15	34	38	21	60	6	49	36	11	56	48	32	44	30	53	16	39	47	55	50	83	39	13	34	37	32	
isogroup00006419	5	0	8	0	0	5	1	4	2	7	0	7	0	1	0	2	7	0	5	9	0	6	0	1	0	4	6	2	2	2	1	0	3	0	
isogroup00006420	65	107	60	129	60	42	72	66	62	38	104	62	96	49	139	57	46	149	62	45	127	63	105	41	67	144	75	120	95	87	58	63	68	80	
isogroup00006421	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00006422	2	5	2	4	1	2	4	2	0	1	2	0	1	4	2	2	1	6	0	1	5	0	4	0	2	0	0	6	1	2	0	4	2	2	
isogroup00006423	3	3	4	0	2	7	0	9	6	9	2	6	1	8	2	0	6	0	4	4	0	0	3	3	0	5	1	0	5	1	1	1	2	0	
isogroup00006424	21	11	21	11	18	10	10	32	16	14	5	11	18	17	13	21	16	8	8	15	9	11	16	13	4	26	20	9	16	17	14	8	16	8	
isogroup00006425	2	1	1	2	0	0	1	0	0	0	1	0	2	0	1	3	1	2	1	0	3	1	1	1	4	0	1	2	0	2	0	0	1	0	
isogroup00006426	219	131	238	121	258	261	71	317	155	167	134	168	115	184	149	216	168	133	165	184	120	179	114	133	71	241	244	91	197	61	184	77	196	93	
isogroup00006427	1	1	0	4	1	2	4	4	3	0	0	0	3	0	2	0	0	2	2	1	0	0	3	0	1	2	0	0	1	3	1	0	1	0	
isogroup00006428	18	3	8	5	17	11	8	13	5	8	4	12	3	10	3	14	9	2	10	6	4	11	8	4	10	13	13	7	8	7	9	8	14	6	
isogroup00006429	16	35	26	48	25	16	31	18	17	24	30	23	50	22	36	23	19	45	18	22	42	15	33	10	27	21	21	31	19	36	21	51	16	41	
isogroup00006430	0	1	2	0	0	21	1	4	6	1	0	1	0	2	0	10	2	0	1	2	0	1	0	1	1	4	12	0	13	0	4	0	0	1	
isogroup00006431	60	11	37	11	32	28	4	12	15	42	12	39	7	34	3	31	50	19	38	43	8	23	11	9	10	20	41	5	27	8	41	15	30	12	
isogroup00006432	4	6	5	6	1	6	4	2	5	2	9	2	4	2	7	0	2	9	1	2	7	2	7	1	8	3	1	8	2	3	1	5	3	4	
isogroup00006433	40	30	43	23	43	59	14	65	34	38	25	27	26	38	31	27	49	24	18	40	25	20	16	23	23	74	44	25	36	18	36	17	53	17	
isogroup00006434	51	50	26	64	42	34	30	55	20	40	38	23	49	42	51	47	23	44	25	40	56	22	39	31	40	50	45	49	40	50	25	47	40	36	
isogroup00006435	49	93	58	89	66	34	88	51	18	56	69	36	81	31	93	67	53	110	35	60	104	27	86	36	104	65	54	65	52	86	33	53	55	73	
isogroup00006436	5	19	5	25	5	5	10	2	2	2	15	4	21	1	32	2	2	25	3	5	25	4	31	3	18	1	3	16	3	22	2	12	2	13	
isogroup00006437	2	3	0	7	2	2	5	0	0	0	5	2	3	1	5	2	1	3	1	0	2	3	2	2	5	0	2	4	3	5	2	3	2	0	
isogroup00006438	83	213	143	287	134	99	123	98	59	112	150	79	213	116	200	133	96	243	73	121	260	93	230	82	181	143	165	210	139	122	110	140	132	158	
isogroup00006439	40	171	40	91	37	32	96	80	22	43	116	36	101	43	61	31	38	69	39	27	100	45	101	27	68	41	36	64	22	71	33	93	60	194	
isogroup00006440	42	29	33	28	43	34	23	28	11	29	18	26	26	44	17	25	40	35	29	34	26	40	17	15	24	36	36	28	40	23	25	26	60	19	
isogroup00006441	13	4	3	5	7	2	3	3	0	2	4	1	3	13	5	9	7	9	4	10	5	4	3	2	5	9	5	11	12	4	6	2	7	2	
isogroup00006442	3	0	1	2	0	2	0	0	0	0	2	0	2	0	0	1	2	3	3	2	1	5	1	1	2	2	1	2	1	2	0	3	3	1	
isogroup00006443	9	0	6	0	8	4	1	9	5	12	3	7	2	5	4	3	11	2	6	5	4	6	2	4	2	10	9	5	7	1	11	4	8	3	
isogroup00006444	1	1	1	0	0	2	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	2	0	3	2	0	0	4	0	0	0	0	
isogroup00006445	6	6	2	4	5	3	1	20	5	10	7	4	7	6	2	3	2	3	2	4	3	3	4	4	4	6	4	1	2	2	2	4	12	2	
isogroup00006446	3	0	1	0	1	2	0	4	4	2	0	0	0	3	0	3	5	0	2	3	1	2	0	2	3	3	7	1	1	1	2	0	3	0	
isogroup00006447	0	1	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	1	1	0	0	0	1	0	0	
isogroup00006448	0	1	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	1	0	0	2	2	1	0	3	1	0	2	0	2	1	1	0	0	
isogroup00006449	2	1	0	0	0	0	0	0	3	1	0	5	1	3	0	0	1	1	0	3	1	0	0	0	2	1	1	0	0	0	1	0	1	2	
isogroup00006450	0	1	4	0	2	0	0	1	1	1	2	1	0	0	0	0	0	0	1	1	2	4	0	0	2	2	1	0	1	0	2	0	0	0	
isogroup00006451	3	8	2	4	23	13	0	10	16	23	4	22	2	1	4	6	9	8	16	8	3	7	2	3	3	6	12	1	8	0	6	2	5	5	
isogroup00006452	4	0	2	0	1	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	
isogroup00006453	1	1	1	0	2	1	0	0	1	0	1	1	0	1	1	0	2	2	0	2	0	0	1	0	0	1	0	0	1	0	0	2	0	0	
isogroup00006454	61	11	52	26	89	80	9	59	63	158	31	107	13	27	15	22	84	9	91	124	19	100	57	17	9	26	54	7	59	12	15	23	146	29	
isogroup00006455	10	94	10	69	14	28	33	8	12	17	51	19	58	11	56	15	20	45	19	17	53	15	66	7	26	21	18	33	10	29	4	77	18	74	
isogroup00006456	18	23	18	49	37	19	17	19	7	13	23	7	45	14	37	34	14	35	17	10	45	13	42	10	6	11	27	28	21	19	19	22	17	30	
isogroup00006457	4	8	5	8	7	8	8	3	4	2	4	4	6	3	4	3	7	4	4	5	9	2	11	1	5	1	2	2	3	3	5	4	1	3	
isogroup00006458	5	44	19	81	11	10	17	6	4	10	45	17	92	7	54	9	13	56	17	12	74	15	93	6	4	12	12	10	8	7	8	76	17	55	
isogroup00006459	0	1	2	0	1	4	0	1	1	2	3	6	2	2	0	0	0	0	3	0	2	3	0	2	1	1	0	0	4	0	3	4	1	1	
isogroup00006460	24	12	28	18	22	15	8	26	10	29	12	18	26	30	11	22	24	11	15	28	12	15	22	17	6	40	21	7	18	8	22	8	25	12	
